contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130C00584000,2025-12-26 14:30:04+00:00,584.0,109.55,104.22,107.62,0.0,0.0,1.0,1,0.4601799588012696,True,REGULAR,USD
SPY260130C00585000,2025-12-29 15:03:25+00:00,585.0,105.22,103.23,106.52,-3.659996,-3.3614953,2.0,53,0.45404598693847653,True,REGULAR,USD
SPY260130C00586000,2025-12-26 20:06:52+00:00,586.0,106.83,102.31,105.51,0.0,0.0,2.0,2,0.4502313278198242,True,REGULAR,USD
SPY260130C00587000,2025-12-26 20:06:52+00:00,587.0,105.82,101.25,104.54,0.0,0.0,2.0,15,0.4474542559814453,True,REGULAR,USD
SPY260130C00588000,2025-12-18 14:43:45+00:00,588.0,90.79,100.26,103.55,0.0,0.0,4.0,7,0.4441889077758788,True,REGULAR,USD
SPY260130C00589000,2025-12-11 14:54:06+00:00,589.0,97.21,99.32,102.55,0.0,0.0,7.0,2,0.44067942138671873,True,REGULAR,USD
SPY260130C00590000,2025-12-24 16:38:07+00:00,590.0,103.7,98.31,101.57,0.0,0.0,1.0,55,0.4376276940917969,True,REGULAR,USD
SPY260130C00591000,2025-11-21 16:26:47+00:00,591.0,74.82,97.3,100.59,0.0,0.0,48.0,24,0.43457596679687505,True,REGULAR,USD
SPY260130C00592000,2025-09-05 13:53:50+00:00,592.0,74.98,88.86,91.98,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260130C00593000,2025-12-19 17:22:11+00:00,593.0,91.23,95.32,98.46,0.0,0.0,2.0,3,0.42426112854003906,True,REGULAR,USD
SPY260130C00594000,2025-12-18 14:43:19+00:00,594.0,85.12,94.34,97.47,0.0,0.0,2.0,182,0.4209652630615235,True,REGULAR,USD
SPY260130C00595000,2025-12-22 20:09:46+00:00,595.0,93.47,93.42,96.48,0.0,0.0,3.0,35,0.41769991485595703,True,REGULAR,USD
SPY260130C00596000,2025-12-26 19:42:28+00:00,596.0,97.14,92.36,95.5,0.0,0.0,3.0,5,0.4146787048339844,True,REGULAR,USD
