Date,Close,High,Low,Open,Volume
2015-01-02,170.58966064453125,171.79375497908285,169.55165702574027,171.37855353156647,121465900
2015-01-05,167.50885009765625,169.7094124002523,167.20160512320268,169.54333437814066,169632600
2015-01-06,165.93104553222656,168.33920788655956,165.13385349984176,167.81605021934024,209151400
2015-01-07,167.998779296875,168.33924746737,166.8113094395579,167.2597213519378,125346700
2015-01-08,170.9799346923828,171.19584753387758,169.39387494423588,169.41047387747284,147217800
2015-01-09,169.60971069335938,171.41168259857324,168.99520828157452,171.3950710007043,158567300
2015-01-12,168.2810821533203,169.90037736326255,167.67489180198814,169.74259884160148,144396100
2015-01-13,167.80775451660156,170.63111821399596,166.50401638682845,169.50177020085064,214553300
2015-01-14,166.79464721679688,166.99394837900314,164.8930310606249,165.7898546132115,192991100
2015-01-15,165.2667236328125,167.74961921677988,165.15046777942544,167.43407485526512,176613900
2015-01-16,167.43409729003906,167.5918758274063,164.8764555018834,165.0591451061045,211879600
2015-01-20,167.79115295410156,168.33922172950153,166.22169249432056,168.0734868065421,130991100
2015-01-21,168.6381378173828,169.1197727781758,166.8610770100815,167.32610037334743,122942700
2015-01-22,171.14601135253906,171.27886616224333,168.0153894461542,169.3938610482265,174356000
2015-01-23,170.20765686035156,171.14601604559238,170.0747893760635,170.88858054318155,117516800
2015-01-26,170.60618591308594,170.6975306921512,169.27754955597067,169.9916961911345,92009700
2015-01-27,168.35585021972656,169.50179734487202,167.52544750857834,168.5468392954275,134044600
2015-01-28,166.1967315673828,169.64289637063882,166.00574256814215,169.54325213989324,168514300
2015-01-29,167.7329864501953,167.99040916855333,164.9843438443767,166.39603807048925,173585400
2015-01-30,165.6238250732422,167.88252155491546,165.35810278354316,166.55388476453962,197729700
2015-02-02,167.67491149902344,167.7662563027714,164.30347856768063,166.12206250624723,163107000
2015-02-03,170.09970092773438,170.10801306486388,168.1980841533659,168.57176286691228,124212900
2015-02-04,169.45196533203125,170.54810292890306,168.99524133333466,169.33570946608478,134306700
2015-02-05,171.16258239746094,171.3120614565671,170.04154647338692,170.11627966747085,97953200
2015-02-06,170.6892547607422,172.09263716397587,170.1660970747955,171.52795681437757,125672000
2015-02-09,169.92529296875,170.76399505727906,169.51839112153613,170.04154882924846,87219000
2015-02-10,171.73556518554688,171.99298797245132,169.9668035361293,170.9632968248335,96164200
2015-02-11,171.83523559570312,172.2670485751251,170.92180016997025,171.569513303633,91087800
2015-02-12,173.4877166748047,173.54585094120173,171.86843407362545,172.6324029759526,97545900
2015-02-13,174.20187377929688,174.2516959129132,173.35485949500125,173.6122949702512,93670400
2015-02-17,174.47592163085938,174.65031178289502,173.63721941815933,173.88633010543833,76968200
2015-02-18,174.49253845214844,174.56727166056717,173.83651316685336,174.10224813581863,80652900
2015-02-19,174.36793518066406,174.73331435364972,173.7534453633138,173.89461228543314,91462500
2015-02-20,175.4142608642578,175.4889940619526,173.32994209721713,173.95274408655172,140896400
2015-02-23,175.3892822265625,175.3892822265625,174.7830794007511,175.16507004892082,74411100
2015-02-24,175.8875732421875,176.08687442836379,175.01564797520626,175.3145934190016,72472300
2015-02-25,175.73805236816406,176.24459830556992,175.3975843656102,175.76296342484514,73061700
2015-02-26,175.5304718017578,175.80450612743863,174.92426889755367,175.64672763650702,72697900
2015-02-27,174.93263244628906,175.69660139502935,174.88281031260112,175.43086645410784,108076000
2015-03-02,176.0370635986328,176.0951851956618,174.9824486776999,175.03227080970728,87491400
2015-03-03,175.3146514892578,176.08693275442616,174.45103807164506,175.60529756483626,110325800
2015-03-04,174.5755615234375,174.79147434157974,173.60399185461756,174.71672846633203,114497200
2015-03-05,174.76658630371094,175.04892022670512,174.26004006730764,174.8994411274518,76873000
2015-03-06,172.30853271484375,174.33471700640686,171.9763767562986,173.9029041235481,188128000
2015-03-09,173.02267456054688,173.37974157238781,172.35005052731177,172.50782903800885,89818900
