contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260130P00574000,2025-12-19 18:37:18+00:00,574.0,0.8,0.38,0.39,0.0,0.0,75.0,240,0.28833719482421866,False,REGULAR,USD
SPY260130P00575000,2025-12-26 19:11:43+00:00,575.0,0.42,0.38,0.39,0.0,0.0,1.0,3261,0.2858958129882812,False,REGULAR,USD
SPY260130P00576000,2025-12-29 16:23:47+00:00,576.0,0.4,0.39,0.4,0.01000002,2.564108,4.0,808,0.2846751220703124,False,REGULAR,USD
SPY260130P00577000,2025-12-23 17:02:10+00:00,577.0,0.56,0.39,0.4,0.0,0.0,81.0,291,0.282233740234375,False,REGULAR,USD
SPY260130P00578000,2025-12-29 15:27:34+00:00,578.0,0.42,0.4,0.41,0.00999999,2.439022,5.0,221,0.28076891113281244,False,REGULAR,USD
SPY260130P00579000,2025-12-26 18:45:43+00:00,579.0,0.45,0.41,0.42,0.0,0.0,2.0,456,0.27930408203124996,False,REGULAR,USD
SPY260130P00580000,2025-12-29 16:30:57+00:00,580.0,0.43,0.42,0.42,0.01000002,2.3809574,109.0,1106,0.27686270019531245,False,REGULAR,USD
SPY260130P00581000,2025-12-26 15:04:26+00:00,581.0,0.51,0.42,0.43,0.0,0.0,21.0,89,0.2755199401855468,False,REGULAR,USD
SPY260130P00582000,2025-12-26 15:20:14+00:00,582.0,0.47,0.43,0.44,-0.030000001,-6.0,174.0,150,0.2740551110839844,False,REGULAR,USD
SPY260130P00583000,2025-12-26 16:35:20+00:00,583.0,0.47,0.43,0.44,-0.030000001,-6.0,3.0,362,0.27161372924804683,False,REGULAR,USD
SPY260130P00584000,2025-12-29 14:37:55+00:00,584.0,0.47,0.44,0.45,0.030000001,6.818182,1.0,197,0.2701489001464844,False,REGULAR,USD
SPY260130P00585000,2025-12-29 16:33:19+00:00,585.0,0.46,0.45,0.46,0.01000002,2.2222269,69.0,75659,0.26856200195312496,False,REGULAR,USD
SPY260130P00586000,2025-12-26 20:52:45+00:00,586.0,0.46,0.46,0.47,0.0,0.0,157.0,213,0.26709717285156254,False,REGULAR,USD
SPY260130P00587000,2025-12-29 15:49:33+00:00,587.0,0.47,0.46,0.47,-0.14000002,-22.950823,4.0,493,0.264655791015625,False,REGULAR,USD
SPY260130P00588000,2025-12-23 20:49:06+00:00,588.0,0.65,0.47,0.48,0.0,0.0,3.0,168,0.26306889282226564,False,REGULAR,USD
SPY260130P00589000,2025-12-24 15:28:03+00:00,589.0,0.62,0.48,0.49,0.0,0.0,50.0,434,0.26148199462890626,False,REGULAR,USD
SPY260130P00590000,2025-12-29 16:49:34+00:00,590.0,0.5,0.49,0.5,-0.050000012,-9.090911,48.0,970,0.25989509643554687,False,REGULAR,USD
SPY260130P00591000,2025-12-24 17:04:04+00:00,591.0,0.6,0.5,0.51,0.0,0.0,3.0,166,0.25830819824218754,False,REGULAR,USD
SPY260130P00592000,2025-12-26 14:32:24+00:00,592.0,0.59,0.5,0.51,0.0,0.0,1.0,198,0.25586681640625003,False,REGULAR,USD
SPY260130P00593000,2025-12-26 18:54:22+00:00,593.0,0.55,0.51,0.52,0.0,0.0,3.0,224,0.2541578491210938,False,REGULAR,USD
SPY260130P00594000,2025-12-26 15:11:23+00:00,594.0,0.61,0.52,0.53,0.0,0.0,30.0,268,0.2524488818359375,False,REGULAR,USD
SPY260130P00595000,2025-12-29 16:38:17+00:00,595.0,0.54,0.53,0.54,-0.029999971,-5.263153,64.0,1340,0.2507399145507812,False,REGULAR,USD
SPY260130P00596000,2025-12-29 14:44:43+00:00,596.0,0.57,0.54,0.55,-0.030000031,-5.000005,13.0,164,0.249030947265625,False,REGULAR,USD
SPY260130P00597000,2025-12-29 14:44:43+00:00,597.0,0.58,0.55,0.56,0.01999998,3.5714252,8.0,774,0.24732197998046873,False,REGULAR,USD
SPY260130P00598000,2025-12-29 15:58:49+00:00,598.0,0.57,0.56,0.57,-0.060000002,-9.523809,19.0,150,0.2456130126953125,False,REGULAR,USD
SPY260130P00599000,2025-12-29 15:54:27+00:00,599.0,0.6,0.57,0.58,0.0,0.0,33.0,301,0.24378197631835938,False,REGULAR,USD
SPY260130P00600000,2025-12-29 16:52:26+00:00,600.0,0.58,0.58,0.59,0.00999999,1.7543843,593.0,18067,0.2420730090332031,False,REGULAR,USD
SPY260130P00601000,2025-12-29 16:07:21+00:00,601.0,0.61,0.59,0.6,-0.060000002,-8.955224,7.0,141,0.24024197265624997,False,REGULAR,USD
SPY260130P00602000,2025-12-29 16:49:11+00:00,602.0,0.62,0.61,0.62,0.0,0.0,8.0,293,0.2391433508300781,False,REGULAR,USD
SPY260130P00603000,2025-12-29 15:00:34+00:00,603.0,0.66,0.62,0.63,0.01000005,1.5384693,2.0,283,0.23731231445312498,False,REGULAR,USD
SPY260130P00604000,2025-12-26 15:34:39+00:00,604.0,0.7,0.63,0.64,0.0,0.0,5.0,456,0.23535920898437498,False,REGULAR,USD
SPY260130P00605000,2025-12-29 15:53:17+00:00,605.0,0.67,0.64,0.65,0.030000031,4.687505,59.0,1169,0.23352817260742187,False,REGULAR,USD
SPY260130P00606000,2025-12-29 16:49:34+00:00,606.0,0.67,0.65,0.66,-0.089999974,-11.842102,364.0,192,0.23157506713867188,False,REGULAR,USD
SPY260130P00607000,2025-12-24 16:32:28+00:00,607.0,0.79,0.67,0.68,0.0,0.0,4.0,185,0.23035437622070312,False,REGULAR,USD
SPY260130P00608000,2025-12-29 15:10:38+00:00,608.0,0.72,0.68,0.69,-0.00999999,-1.3698617,3.0,265,0.22840127075195313,False,REGULAR,USD
SPY260130P00609000,2025-12-23 19:04:22+00:00,609.0,0.91,0.69,0.7,0.0,0.0,9.0,105,0.2264481652832031,False,REGULAR,USD
SPY260130P00610000,2025-12-29 16:49:15+00:00,610.0,0.73,0.71,0.72,0.00999999,1.3888875,290.0,30060,0.22510540527343748,False,REGULAR,USD
SPY260130P00611000,2025-12-29 16:39:48+00:00,611.0,0.74,0.72,0.73,-0.060000002,-7.5,88.0,169,0.2230302307128906,False,REGULAR,USD
SPY260130P00612000,2025-12-29 15:49:42+00:00,612.0,0.75,0.74,0.75,-0.06999999,-8.536584,87.0,204,0.22168747070312497,False,REGULAR,USD
SPY260130P00613000,2025-12-29 14:55:30+00:00,613.0,0.8,0.75,0.76,-0.029999971,-3.6144545,1.0,246,0.2196122961425781,False,REGULAR,USD
SPY260130P00614000,2025-12-29 16:10:39+00:00,614.0,0.8,0.77,0.78,-0.07999998,-9.090907,2.0,585,0.2181474670410156,False,REGULAR,USD
SPY260130P00615000,2025-12-29 15:16:10+00:00,615.0,0.84,0.79,0.8,0.06999999,9.090908,8.0,1912,0.21656056884765623,False,REGULAR,USD
SPY260130P00616000,2025-12-29 16:39:15+00:00,616.0,0.83,0.81,0.82,-0.050000012,-5.6818194,1.0,301,0.21497367065429687,False,REGULAR,USD
SPY260130P00617000,2025-12-29 16:51:32+00:00,617.0,0.84,0.82,0.83,-0.02000004,-2.325586,2.0,193,0.21289849609375,False,REGULAR,USD
SPY260130P00618000,2025-12-29 15:52:41+00:00,618.0,0.89,0.84,0.85,0.01999998,2.2988484,4.0,261,0.21131159790039059,False,REGULAR,USD
SPY260130P00619000,2025-12-26 15:13:26+00:00,619.0,0.98,0.86,0.87,0.0,0.0,5.0,210,0.20960263061523435,False,REGULAR,USD
SPY260130P00620000,2025-12-29 16:37:32+00:00,620.0,0.91,0.88,0.89,0.02000004,2.2471955,89.0,2240,0.20795469787597654,False,REGULAR,USD
SPY260130P00621000,2025-12-26 20:38:40+00:00,621.0,0.9,0.9,0.91,0.0,0.0,4.0,193,0.20624573059082027,False,REGULAR,USD
SPY260130P00622000,2025-12-29 15:48:07+00:00,622.0,0.94,0.92,0.94,-0.04000002,-4.0816345,93.0,10883,0.2049640051269531,False,REGULAR,USD
SPY260130P00623000,2025-12-29 16:23:53+00:00,623.0,0.98,0.96,0.97,0.00999999,1.0309268,4.0,384,0.2036212451171875,False,REGULAR,USD
SPY260130P00624000,2025-12-29 14:44:07+00:00,624.0,1.04,0.97,0.98,0.06999993,7.216488,5.0,503,0.20142400146484374,False,REGULAR,USD
SPY260130P00625000,2025-12-29 16:38:53+00:00,625.0,1.04,1.0,1.01,0.06999993,7.216488,91.0,6695,0.19995917236328126,False,REGULAR,USD
SPY260130P00626000,2025-12-29 16:26:09+00:00,626.0,1.05,1.02,1.03,-0.07000005,-6.250005,4.0,331,0.1981281359863281,False,REGULAR,USD
SPY260130P00627000,2025-12-29 15:17:48+00:00,627.0,1.1,1.05,1.06,0.01999998,1.85185,29.0,149,0.1966633068847656,False,REGULAR,USD
SPY260130P00628000,2025-12-26 19:09:19+00:00,628.0,1.1,1.07,1.08,0.0,0.0,4.0,283,0.1947102014160156,False,REGULAR,USD
SPY260130P00629000,2025-12-29 16:36:44+00:00,629.0,1.14,1.1,1.11,-0.110000014,-8.800001,10.0,281,0.19312330322265625,False,REGULAR,USD
SPY260130P00630000,2025-12-29 16:46:01+00:00,630.0,1.17,1.13,1.14,0.049999952,4.4642816,151.0,5106,0.1915364050292969,False,REGULAR,USD
SPY260130P00631000,2025-12-29 14:32:07+00:00,631.0,1.24,1.17,1.18,0.09000003,7.8260903,1.0,281,0.1902546795654297,False,REGULAR,USD
SPY260130P00632000,2025-12-29 15:50:07+00:00,632.0,1.24,1.2,1.21,0.01999998,1.6393427,4.0,293,0.18860674682617187,False,REGULAR,USD
SPY260130P00633000,2025-12-29 15:08:49+00:00,633.0,1.33,1.24,1.26,0.04000008,3.1007817,8.0,330,0.18756915954589842,False,REGULAR,USD
SPY260130P00634000,2025-12-29 16:27:34+00:00,634.0,1.32,1.27,1.28,-0.01999998,-1.4925358,6.0,2755,0.1854329504394531,False,REGULAR,USD
SPY260130P00635000,2025-12-29 16:47:24+00:00,635.0,1.35,1.31,1.33,0.08000004,6.299216,167.0,26006,0.18433432861328125,False,REGULAR,USD
SPY260130P00636000,2025-12-26 20:59:21+00:00,636.0,1.32,1.35,1.37,0.0,0.0,25.0,145,0.1828084649658203,False,REGULAR,USD
SPY260130P00637000,2025-12-26 20:59:21+00:00,637.0,1.36,1.39,1.4,0.0,0.0,14.0,473,0.18091639404296872,False,REGULAR,USD
